Dates,renewable energy generation percentage,non-renewable energy generation percentage,energy price
2016-01-15,0.5230432655546198,0.4769567344453802,47.38916666666668
2016-01-16,0.4675307937597158,0.5324692062402843,42.52541666666667
2016-01-17,0.4939169668701886,0.5060830331298114,45.50833333333333
2016-01-18,0.32634691614608125,0.6736530838539188,51.15625
2016-01-19,0.2990997546308397,0.7009002453691603,59.78333333333333
2016-01-20,0.3293026883245245,0.6706973116754755,60.72291666666666
2016-01-21,0.32967530308698445,0.6703246969130155,58.74458333333334
2016-01-22,0.33763706752473843,0.6623629324752616,55.25958333333333
2016-01-23,0.4409447475785884,0.5590552524214116,49.00666666666666
2016-01-24,0.3352236263498793,0.6647763736501207,43.17249999999999
2016-01-25,0.2773638581924729,0.7226361418075271,55.43958333333333
2016-01-26,0.3509392970536821,0.6490607029463178,56.55541666666668
2016-01-27,0.3131165238202989,0.6868834761797011,51.35583333333334
2016-01-28,0.3015737771812953,0.6984262228187046,55.24416666666667
2016-01-29,0.4264232597571016,0.5735767402428984,53.87666666666666
2016-01-30,0.5038318992892641,0.4961681007107359,44.90458333333333
2016-01-31,0.3532564585618358,0.6467435414381641,40.99875
2016-02-01,0.30934679064325943,0.6906532093567406,52.39708333333334
2016-02-02,0.4562696641374981,0.5437303358625019,50.08666666666668
2016-02-03,0.43743546811141176,0.5625645318885882,41.855833333333344
2016-02-04,0.3934446251706498,0.6065553748293502,43.42666666666667
2016-02-05,0.5599535426050156,0.4400464573949844,46.10124999999999
2016-02-06,0.6473823658796931,0.3526176341203069,35.00541666666666
2016-02-07,0.6054159378417275,0.3945840621582725,26.715000000000003
2016-02-08,0.6105109131679509,0.3894890868320491,39.28874999999999
2016-02-09,0.6103411001016338,0.3896588998983662,32.84875
2016-02-10,0.5926568419734899,0.4073431580265101,36.189166666666665
2016-02-11,0.6478536871756175,0.3521463128243825,40.50208333333333
2016-02-12,0.7108469344160234,0.2891530655839766,33.13
2016-02-13,0.6979262871311938,0.30207371286880624,18.659166666666668
2016-02-14,0.6630654781624092,0.3369345218375908,18.6525
2016-02-15,0.5573149584322119,0.4426850415677881,30.23333333333333
2016-02-16,0.4600165022492092,0.5399834977507908,43.68916666666666
2016-02-17,0.3969931690226501,0.60300683097735,46.834999999999994
2016-02-18,0.3994978254782981,0.600502174521702,46.29083333333333
2016-02-19,0.4541503106556164,0.5458496893443836,46.84916666666666
2016-02-20,0.4996524718045755,0.5003475281954245,41.19958333333333
2016-02-21,0.4186225042403309,0.5813774957596691,35.00875
2016-02-22,0.507527193588713,0.49247280641128705,48.16041666666667
2016-02-23,0.4833341089284444,0.5166658910715556,42.269583333333344
2016-02-24,0.5339862054887571,0.4660137945112429,39.10958333333335
2016-02-25,0.5377978880572254,0.4622021119427746,36.699583333333344
2016-02-26,0.6418574635685794,0.3581425364314206,34.11958333333334
2016-02-27,0.6275033038450523,0.3724966961549477,14.514583333333334
2016-02-28,0.6141612724978275,0.3858387275021725,14.755
2016-02-29,0.5372840150209445,0.4627159849790555,30.652916666666666
2016-03-01,0.5763247566304807,0.42367524336951934,38.73458333333335
2016-03-02,0.5527719325879994,0.4472280674120006,32.878750000000004
2016-03-03,0.5886999160808918,0.4113000839191082,35.68
2016-03-04,0.6049090036038458,0.3950909963961542,28.455416666666668
2016-03-05,0.5734893408118867,0.4265106591881133,19.81875
2016-03-06,0.5522365804021084,0.4477634195978916,22.80583333333333
2016-03-07,0.5265636701974455,0.4734363298025545,35.67666666666667
2016-03-08,0.5942800075834349,0.4057199924165651,39.77583333333333
2016-03-09,0.5974354618714628,0.4025645381285372,30.665
2016-03-10,0.5525196608579843,0.4474803391420157,30.94208333333333
2016-03-11,0.5322474975152367,0.4677525024847633,39.43708333333335
2016-03-12,0.5200628677920737,0.4799371322079263,35.988333333333344
2016-03-13,0.39815200793010697,0.6018479920698929,32.94833333333334
2016-03-14,0.3394222479998233,0.6605777520001767,45.79833333333333
2016-03-15,0.4572722216265832,0.5427277783734168,49.04333333333334
2016-03-16,0.35020439532638925,0.6497956046736107,42.70416666666665
2016-03-17,0.34719502282037185,0.6528049771796282,48.61791666666666
2016-03-18,0.3665701046607929,0.6334298953392071,50.49125
2016-03-19,0.3519297839477857,0.6480702160522143,44.37083333333334
2016-03-20,0.3990031481218184,0.6009968518781816,42.65875
2016-03-21,0.4526304753686479,0.5473695246313521,43.78708333333334
2016-03-22,0.5682112454753816,0.4317887545246184,42.715
2016-03-23,0.519158259990716,0.480841740009284,38.38500000000001
2016-03-24,0.4961206949501657,0.5038793050498342,38.12333333333334
2016-03-25,0.5531377786206572,0.4468622213793429,38.475
2016-03-26,0.5829580716922096,0.4170419283077904,31.214583333333326
2016-03-27,0.578025047252434,0.421974952747566,23.75291666666667
2016-03-28,0.5008107306946685,0.4991892693053315,25.9875
2016-03-29,0.5085464302371729,0.491453569762827,40.49666666666668
2016-03-30,0.5784391742672209,0.4215608257327791,38.87333333333334
2016-03-31,0.5133251639641511,0.4866748360358489,31.711666666666666
2016-04-01,0.5000381628965709,0.4999618371034291,41.64208333333333
2016-04-02,0.5774285555392289,0.4225714444607711,34.568749999999994
2016-04-03,0.4910744495416742,0.5089255504583259,23.017916666666668
2016-04-04,0.5922508130259937,0.4077491869740063,36.28124999999999
2016-04-05,0.5292652780124617,0.4707347219875383,29.9025
2016-04-06,0.5710243365726054,0.42897566342739457,36.81291666666667
2016-04-07,0.5720311938204151,0.427968806179585,32.36958333333334
2016-04-08,0.5414160336676407,0.4585839663323593,29.52708333333333
2016-04-09,0.5660883678326425,0.4339116321673575,25.68166666666667
2016-04-10,0.5463342659047645,0.4536657340952355,18.429583333333333
2016-04-11,0.5404494696011685,0.4595505303988315,27.85416666666667
2016-04-12,0.5577146382335638,0.4422853617664362,30.89583333333333
2016-04-13,0.5631155334375821,0.43688446656241786,31.39500000000001
2016-04-14,0.5253081110166911,0.474691888983309,33.076249999999995
2016-04-15,0.5814891804366329,0.418510819563367,32.86666666666667
2016-04-16,0.4992220109188529,0.5007779890811471,25.88875
2016-04-17,0.5190998672213049,0.4809001327786952,28.694583333333334
2016-04-18,0.5607650767715746,0.4392349232284254,33.63291666666667
2016-04-19,0.4812164162901552,0.5187835837098449,29.49125
2016-04-20,0.4889658032066378,0.5110341967933623,37.619166666666665
2016-04-21,0.4106933367931819,0.589306663206818,40.208333333333336
2016-04-22,0.511472040810419,0.488527959189581,43.18625
2016-04-23,0.5799481881200981,0.4200518118799019,29.6175
2016-04-24,0.5229697971668698,0.4770302028331303,20.666666666666668
2016-04-25,0.4912760552608009,0.5087239447391991,35.29583333333334
2016-04-26,0.4745478803263192,0.5254521196736808,38.08
2016-04-27,0.5002756303327159,0.4997243696672841,40.23125000000001
2016-04-28,0.4852210824660858,0.5147789175339141,39.6225
2016-04-29,0.6060338424042067,0.3939661575957933,39.83833333333333
2016-04-30,0.6313784159311087,0.36862158406889134,31.851250000000004
2016-05-01,0.5801909924895728,0.4198090075104272,23.3925
2016-05-02,0.5797848674530017,0.4202151325469983,34.017500000000005
2016-05-03,0.5074548110486374,0.4925451889513626,34.74041666666667
2016-05-04,0.4878674823800814,0.5121325176199185,40.02833333333334
2016-05-05,0.5242144009778276,0.4757855990221724,43.68208333333333
2016-05-06,0.5650157546213169,0.4349842453786831,42.46166666666668
2016-05-07,0.6125923415100897,0.3874076584899103,27.51166666666667
2016-05-08,0.5616777486795765,0.43832225132042346,16.4475
2016-05-09,0.5435565126483862,0.4564434873516138,33.99458333333333
2016-05-10,0.5265091869160738,0.4734908130839262,39.15750000000001
2016-05-11,0.5449706145601168,0.4550293854398833,36.997916666666654
2016-05-12,0.6026460377696697,0.3973539622303303,32.992916666666666
2016-05-13,0.6228594733157287,0.37714052668427134,27.59583333333333
2016-05-14,0.5973121472995263,0.4026878527004737,21.09083333333333
2016-05-15,0.5607807854297511,0.4392192145702489,22.42208333333333
2016-05-16,0.4893288517754186,0.5106711482245814,34.09541666666667
2016-05-17,0.5131890253701932,0.4868109746298068,41.22875000000001
2016-05-18,0.5473244405351333,0.4526755594648667,39.680416666666666
2016-05-19,0.5193137328759934,0.4806862671240066,40.26625000000001
2016-05-20,0.6082515401896519,0.3917484598103481,39.31708333333333
2016-05-21,0.6188809223200323,0.3811190776799677,28.499166666666678
2016-05-22,0.4909581393321281,0.5090418606678719,21.219166666666666
2016-05-23,0.525466021912853,0.474533978087147,41.06208333333335
2016-05-24,0.4526220136218392,0.5473779863781607,40.61875
2016-05-25,0.4648483356316705,0.5351516643683295,43.44875
2016-05-26,0.4803002906397651,0.5196997093602349,44.39916666666666
2016-05-27,0.5314863362459826,0.4685136637540174,43.084999999999994
2016-05-28,0.5485758450337329,0.45142415496626703,31.188749999999995
2016-05-29,0.4542719985977341,0.5457280014022661,24.06583333333333
2016-05-30,0.4656479078548023,0.5343520921451977,43.51083333333333
2016-05-31,0.508001035488514,0.491998964511486,44.59083333333334
2016-06-01,0.4148814590949688,0.5851185409050312,44.93125000000001
2016-06-02,0.4184615884590444,0.5815384115409556,47.18541666666667
2016-06-03,0.4286115273627265,0.5713884726372735,47.03833333333333
2016-06-04,0.37997959065940695,0.620020409340593,46.17083333333333
2016-06-05,0.3804668573485898,0.6195331426514101,47.66833333333333
2016-06-06,0.35994426626074616,0.6400557337392538,50.85124999999999
2016-06-07,0.3623133440175673,0.6376866559824328,51.26624999999999
2016-06-08,0.3345397383285065,0.6654602616714935,49.14208333333334
2016-06-09,0.4230152669892599,0.5769847330107399,48.47166666666666
2016-06-10,0.39626623703061264,0.6037337629693873,46.30583333333333
2016-06-11,0.4213715446142551,0.5786284553857448,45.90958333333333
2016-06-12,0.5163240756856515,0.4836759243143485,43.96458333333333
2016-06-13,0.5232949457009531,0.4767050542990469,43.64416666666667
2016-06-14,0.525120700960069,0.474879299039931,43.75208333333334
2016-06-15,0.4838697671996013,0.5161302328003987,40.29875000000001
2016-06-16,0.4045551018984313,0.5954448981015688,45.30916666666667
2016-06-17,0.4470452694945203,0.5529547305054797,51.10416666666666
2016-06-18,0.4635866691179204,0.5364133308820797,42.54625000000001
2016-06-19,0.39968452155755546,0.6003154784424445,40.32833333333335
2016-06-20,0.3941370200337487,0.6058629799662514,48.76333333333332
2016-06-21,0.4574083768466815,0.5425916231533185,49.395
2016-06-22,0.4266128423267926,0.5733871576732075,45.62416666666667
2016-06-23,0.4117852948027631,0.5882147051972368,46.72291666666666
2016-06-24,0.4815400156425337,0.5184599843574663,45.27833333333334
2016-06-25,0.5132774410475927,0.4867225589524074,41.545
2016-06-26,0.4134916530158316,0.5865083469841684,33.87833333333332
2016-06-27,0.3354529264325914,0.6645470735674086,46.06291666666666
2016-06-28,0.3255259071383559,0.6744740928616442,50.383750000000006
2016-06-29,0.3177268880800575,0.6822731119199426,52.40875
2016-06-30,0.318410845490198,0.6815891545098021,52.61833333333333
2016-07-01,0.3729251823606768,0.6270748176393233,49.83208333333334
2016-07-02,0.4280741958906872,0.5719258041093128,45.03
2016-07-03,0.3535698022916839,0.6464301977083161,41.67083333333333
2016-07-04,0.3346872899707498,0.6653127100292502,49.14833333333333
2016-07-05,0.3222600777586104,0.6777399222413896,48.82416666666666
2016-07-06,0.2692949145523438,0.7307050854476562,49.12166666666667
2016-07-07,0.28952435387877623,0.7104756461212238,50.34833333333333
2016-07-08,0.3547723673541118,0.6452276326458882,49.2925
2016-07-09,0.34777517872863084,0.6522248212713692,47.25708333333333
2016-07-10,0.35087543236805485,0.6491245676319451,45.089166666666664
2016-07-11,0.3739759597199694,0.6260240402800306,49.77208333333334
2016-07-12,0.42511561614011467,0.5748843838598854,48.10083333333332
2016-07-13,0.4562998882088589,0.5437001117911411,46.14500000000001
2016-07-14,0.42995550656461207,0.5700444934353879,45.25833333333333
2016-07-15,0.3830322570815136,0.6169677429184863,46.77416666666666
2016-07-16,0.3605807914148991,0.6394192085851009,45.4075
2016-07-17,0.366026922850072,0.633973077149928,46.61125000000001
2016-07-18,0.3327728191797344,0.6672271808202657,49.41791666666666
2016-07-19,0.31409362307909744,0.6859063769209026,48.42083333333332
2016-07-20,0.29132868469703904,0.7086713153029609,49.20416666666667
2016-07-21,0.3875872781730918,0.6124127218269082,50.57708333333334
2016-07-22,0.439795670102654,0.560204329897346,47.92625
2016-07-23,0.4265619105687519,0.5734380894312481,44.6625
2016-07-24,0.3696362479256203,0.6303637520743797,43.72166666666666
2016-07-25,0.37594015998062574,0.6240598400193742,47.73999999999999
2016-07-26,0.375597699858156,0.6244023001418441,48.11791666666666
2016-07-27,0.3301690177212577,0.6698309822787423,48.75833333333335
2016-07-28,0.31578385166815914,0.6842161483318409,49.67
2016-07-29,0.35980310704268315,0.6401968929573169,51.46083333333335
2016-07-30,0.4049739331747754,0.5950260668252245,46.07375000000001
2016-07-31,0.3433970405572642,0.6566029594427358,42.83875
2016-08-01,0.3171178468800862,0.6828821531199138,48.85041666666667
2016-08-02,0.3070405078133897,0.6929594921866102,48.45458333333333
2016-08-03,0.3507525279185387,0.6492474720814614,50.74791666666667
2016-08-04,0.40456953730735296,0.595430462692647,48.49458333333334
2016-08-05,0.483470369839779,0.516529630160221,46.845
2016-08-06,0.4842431678957592,0.5157568321042407,44.94208333333333
2016-08-07,0.4370897042921848,0.5629102957078151,40.55375
2016-08-08,0.4916578347948045,0.5083421652051956,48.60083333333333
2016-08-09,0.5400446853048957,0.4599553146951043,45.04374999999999
2016-08-10,0.4963973298796441,0.503602670120356,43.32375
2016-08-11,0.3827022122935974,0.6172977877064025,46.38416666666666
2016-08-12,0.3831131975316357,0.6168868024683642,48.72666666666666
2016-08-13,0.3913050877661214,0.6086949122338786,47.104166666666686
2016-08-14,0.3594983419374128,0.6405016580625873,46.12291666666667
2016-08-15,0.2971785154306291,0.7028214845693709,48.75791666666667
2016-08-16,0.2988525849618301,0.7011474150381698,51.231666666666676
2016-08-17,0.3051001222454135,0.6948998777545865,49.76375
2016-08-18,0.3269845164673305,0.6730154835326695,49.98500000000001
2016-08-19,0.3908798231580776,0.6091201768419224,49.075
2016-08-20,0.40754143896135947,0.5924585610386406,45.58625000000001
2016-08-21,0.3237560088537413,0.6762439911462587,44.56916666666666
2016-08-22,0.3267319792225107,0.6732680207774893,48.02666666666668
2016-08-23,0.3703465623149959,0.6296534376850041,48.06958333333333
2016-08-24,0.3656422640447069,0.6343577359552932,48.1275
2016-08-25,0.3318516705033439,0.6681483294966561,47.65208333333334
2016-08-26,0.3089118445466537,0.6910881554533463,48.07041666666667
2016-08-27,0.31111578904654424,0.6888842109534558,47.25458333333333
2016-08-28,0.3729447580284004,0.6270552419715996,47.02958333333334
2016-08-29,0.32267750580359705,0.6773224941964029,48.28833333333333
2016-08-30,0.3073904386615616,0.6926095613384384,50.07
2016-08-31,0.30241654138196183,0.6975834586180382,49.54583333333333
2016-09-01,0.2687762706039512,0.7312237293960488,50.192083333333336
2016-09-02,0.2635590705957789,0.7364409294042211,52.22541666666666
2016-09-03,0.2695833975184164,0.7304166024815836,48.97083333333333
2016-09-04,0.2898696224101741,0.7101303775898259,48.64333333333333
2016-09-05,0.2587887700081063,0.7412112299918937,54.45874999999998
2016-09-06,0.2688785270665409,0.7311214729334591,55.67124999999999
2016-09-07,0.2773904831472386,0.7226095168527614,55.1175
2016-09-08,0.2601558843830009,0.7398441156169989,51.96541666666666
2016-09-09,0.24272364588402576,0.7572763541159743,53.18041666666666
2016-09-10,0.2662627565407251,0.7337372434592748,48.410833333333336
2016-09-11,0.3579666934430447,0.6420333065569552,47.20000000000001
2016-09-12,0.3718487383130531,0.6281512616869469,50.26624999999999
2016-09-13,0.3717509796450923,0.6282490203549077,49.77250000000001
2016-09-14,0.3748882062687356,0.6251117937312645,49.96750000000001
2016-09-15,0.3743293205709808,0.6256706794290192,50.68833333333334
2016-09-16,0.4262513042970628,0.5737486957029372,49.33583333333333
2016-09-17,0.4054643981634512,0.5945356018365489,46.45875
2016-09-18,0.32353324258180943,0.6764667574181906,43.03041666666666
2016-09-19,0.2936898656654189,0.7063101343345809,49.39499999999999
2016-09-20,0.24890270653364416,0.7510972934663558,50.58083333333335
2016-09-21,0.2416586013152344,0.7583413986847656,52.66249999999997
2016-09-22,0.2459092594577225,0.7540907405422774,52.82291666666666
2016-09-23,0.32234690070490635,0.6776530992950937,53.459999999999994
2016-09-24,0.2844790347450119,0.7155209652549881,46.75333333333333
2016-09-25,0.24065533811608605,0.7593446618839139,45.8025
2016-09-26,0.3061845037960383,0.6938154962039618,53.01541666666666
2016-09-27,0.3310913685479601,0.6689086314520398,50.40541666666665
2016-09-28,0.30144363383703643,0.6985563661629636,50.11416666666667
2016-09-29,0.28448745272269443,0.7155125472773056,50.35791666666666
2016-09-30,0.251866416432366,0.748133583567634,51.90541666666666
2016-10-01,0.2478042665262853,0.7521957334737147,51.9275
2016-10-02,0.2858096321386085,0.7141903678613915,52.25125000000001
2016-10-03,0.2611064430513315,0.7388935569486685,56.932083333333324
2016-10-04,0.2927800002588396,0.7072199997411603,60.17416666666667
2016-10-05,0.2546674254927761,0.7453325745072239,58.76083333333333
2016-10-06,0.21885513975861826,0.7811448602413817,60.61791666666667
2016-10-07,0.25719438290040136,0.7428056170995987,62.69
2016-10-08,0.3510810837857914,0.6489189162142086,55.60291666666668
2016-10-09,0.2656637924054259,0.7343362075945741,50.38583333333333
2016-10-10,0.2565939668605368,0.7434060331394632,62.68749999999999
2016-10-11,0.2564188573410112,0.7435811426589889,62.78125
2016-10-12,0.20367576665155696,0.796324233348443,58.66416666666667
2016-10-13,0.30847798051441866,0.6915220194855813,64.13208333333331
2016-10-14,0.3545880185122744,0.6454119814877256,61.76458333333334
2016-10-15,0.30169453366645776,0.6983054663335422,52.97458333333334
2016-10-16,0.1799466765863474,0.8200533234136526,54.16541666666668
2016-10-17,0.2084613923711672,0.7915386076288328,67.21000000000001
2016-10-18,0.203463878889851,0.7965361211101489,64.45333333333333
2016-10-19,0.23349896644085344,0.7665010335591466,66.325
2016-10-20,0.21411719690596176,0.7858828030940382,65.86875
2016-10-21,0.2487913663163306,0.7512086336836694,65.6425
2016-10-22,0.400636498705697,0.599363501294303,58.2175
2016-10-23,0.2530335400101768,0.7469664599898231,48.94708333333333
2016-10-24,0.21818485851981806,0.7818151414801819,62.30500000000001
2016-10-25,0.19613385319396015,0.8038661468060398,66.05791666666666
2016-10-26,0.2504646472795373,0.7495353527204627,66.30083333333333
2016-10-27,0.2363194515649262,0.7636805484350738,63.17208333333334
2016-10-28,0.2433392800004765,0.7566607199995234,64.26416666666667
2016-10-29,0.21456311823889904,0.7854368817611009,60.20583333333335
2016-10-30,0.2338734943366848,0.7661265056633152,59.35041666666667
2016-10-31,0.21895893270193312,0.7810410672980669,61.44083333333334
2016-11-01,0.1897469825470557,0.8102530174529443,57.84708333333333
2016-11-02,0.16991876834959085,0.8300812316504091,68.29083333333334
2016-11-03,0.22787669823868384,0.7721233017613162,69.55958333333332
2016-11-04,0.3961044588311474,0.6038955411688526,67.50874999999999
2016-11-05,0.3913804102584354,0.6086195897415646,56.82041666666667
2016-11-06,0.3256320217469398,0.6743679782530603,53.95041666666666
2016-11-07,0.4102945657294684,0.5897054342705316,64.68750000000001
2016-11-08,0.3970887910269033,0.6029112089730967,60.56333333333333
2016-11-09,0.3048262983526833,0.6951737016473167,59.35208333333333
2016-11-10,0.28481051995531936,0.7151894800446806,66.22374999999998
2016-11-11,0.22568641958671576,0.7743135804132842,67.24666666666668
2016-11-12,0.3525988656953335,0.6474011343046665,64.72375000000001
2016-11-13,0.4144109164512693,0.5855890835487307,58.22374999999999
2016-11-14,0.32897002421939386,0.6710299757806062,60.88166666666666
2016-11-15,0.204300977462406,0.7956990225375941,65.60166666666666
2016-11-16,0.20562823589336424,0.7943717641066357,70.22250000000001
2016-11-17,0.267307484857365,0.732692515142635,67.88
2016-11-18,0.3507673126644452,0.6492326873355548,64.66791666666667
2016-11-19,0.4985598346426934,0.5014401653573066,59.09791666666666
2016-11-20,0.4128956711518221,0.5871043288481779,47.82333333333333
2016-11-21,0.1887467957469854,0.8112532042530146,53.53541666666667
2016-11-22,0.3027556896602489,0.6972443103397511,68.81791666666668
2016-11-23,0.2823359155410305,0.7176640844589695,63.21333333333333
2016-11-24,0.2854405605807952,0.7145594394192047,63.07708333333333
2016-11-25,0.3557231804818365,0.6442768195181635,61.92708333333334
2016-11-26,0.3034006116546673,0.6965993883453327,55.31833333333334
2016-11-27,0.2284394096213929,0.7715605903786071,58.05083333333334
2016-11-28,0.24364372472432325,0.7563562752756767,68.61208333333335
2016-11-29,0.3694849609005413,0.6305150390994587,70.60166666666667
2016-11-30,0.2325499094444634,0.7674500905555366,63.45416666666668
2016-12-01,0.20363822688320168,0.7963617731167983,71.22916666666667
2016-12-02,0.3087138618578831,0.6912861381421169,72.74833333333333
2016-12-03,0.38683376474196535,0.6131662352580347,62.10083333333333
2016-12-04,0.2768745130512625,0.7231254869487375,55.11166666666666
2016-12-05,0.20742485044422965,0.7925751495557704,68.47916666666667
2016-12-06,0.2311770723891402,0.7688229276108598,69.85875000000001
2016-12-07,0.3122345604683929,0.6877654395316071,69.70666666666666
2016-12-08,0.335564168414917,0.664435831585083,60.61916666666667
2016-12-09,0.28217890812056984,0.7178210918794301,63.43291666666667
2016-12-10,0.2406855728845066,0.7593144271154935,64.42833333333333
2016-12-11,0.2000195377992649,0.7999804622007352,66.82874999999999
2016-12-12,0.1956163214321236,0.8043836785678764,72.02916666666668
2016-12-13,0.22588429894762646,0.7741157010523736,72.36041666666667
2016-12-14,0.22859228220821104,0.7714077177917891,71.82833333333333
2016-12-15,0.2815891839366153,0.7184108160633846,73.55083333333333
2016-12-16,0.3970032931336216,0.6029967068663784,71.69875
2016-12-17,0.3622748075220665,0.6377251924779335,61.946250000000006
2016-12-18,0.33316072678047803,0.666839273219522,61.09083333333333
2016-12-19,0.3083416908243393,0.6916583091756607,72.40375
2016-12-20,0.2799833468520886,0.7200166531479114,71.19375000000002
2016-12-21,0.2078973462137937,0.7921026537862064,71.59166666666668
2016-12-22,0.21415605818634392,0.7858439418136559,72.80833333333334
2016-12-23,0.2460569498585745,0.7539430501414255,71.86791666666667
2016-12-24,0.22522262935855455,0.7747773706414454,63.60999999999999
2016-12-25,0.22103022091183774,0.7789697790881622,59.29791666666666
2016-12-26,0.2204726998553444,0.7795273001446557,63.94083333333332
2016-12-27,0.23884421247479115,0.7611557875252088,69.87541666666665
2016-12-28,0.230609564605155,0.769390435394845,66.20416666666668
2016-12-29,0.20231530530165975,0.7976846946983402,66.76041666666667
2016-12-30,0.20111394138835306,0.7988860586116471,70.30958333333332
2017-01-01,0.2609231698297916,0.7390768301702084,60.66708333333332
2017-01-02,0.2484243759193301,0.7515756240806699,68.48208333333334
2017-01-03,0.29464497722425564,0.7053550227757444,73.77541666666666
2017-01-04,0.3179933626829295,0.6820066373170706,73.26958333333333
2017-01-05,0.2646641908964873,0.7353358091035127,72.37333333333333
2017-01-06,0.2657491837860841,0.7342508162139159,73.3125
2017-01-07,0.2994630930348594,0.7005369069651406,72.41041666666666
2017-01-08,0.30830692714477137,0.6916930728552286,67.145
2017-01-09,0.4035915880536393,0.5964084119463607,79.7516666666667
2017-01-10,0.3388315391297225,0.6611684608702775,73.99708333333334
2017-01-11,0.3368024699704367,0.6631975300295633,81.40041666666666
2017-01-12,0.3805007711051221,0.619499228894878,82.66125
2017-01-13,0.36342709869783496,0.636572901302165,76.95500000000001
2017-01-14,0.38107224212744506,0.6189277578725549,72.17583333333334
2017-01-15,0.42560450433322794,0.5743954956667721,69.49125
2017-01-16,0.4449065544959424,0.5550934455040576,77.36
2017-01-17,0.36752062587728623,0.6324793741227137,81.19583333333334
2017-01-18,0.32706202911126303,0.6729379708887371,87.07708333333332
2017-01-19,0.27185906995552234,0.7281409300444777,93.81749999999998
2017-01-20,0.26925007199683376,0.7307499280031662,97.27375
2017-01-21,0.32006378108851696,0.6799362189114828,86.07041666666666
2017-01-22,0.3161474130475184,0.6838525869524816,79.31458333333332
2017-01-23,0.3271045142089073,0.6728954857910927,92.20625
2017-01-24,0.27906535739396915,0.7209346426060308,95.71291666666669
2017-01-25,0.30500055181364505,0.694999448186355,98.98291666666668
2017-01-26,0.3598676593194034,0.6401323406805965,94.44541666666665
2017-01-27,0.3743690742287896,0.6256309257712104,83.41625000000002
2017-01-28,0.3137818186856224,0.6862181813143776,68.46708333333332
