renewable energy generation percentage,non-renewable energy generation percentage,date
0.2864958625484403,0.7135041374515597,2015-01-01
0.30571660763394554,0.6942833923660545,2015-01-02
0.3160258813846941,0.6839741186153059,2015-01-03
0.25325303193166016,0.7467469680683398,2015-01-04
0.26055513058425644,0.7394448694157436,2015-01-05
0.22741768695068262,0.7725823130493173,2015-01-06
0.25402921449025956,0.7459707855097404,2015-01-07
0.27580468118066653,0.7241953188193335,2015-01-08
0.2825345917456947,0.7174654082543053,2015-01-09
0.34433327530947744,0.6556667246905226,2015-01-10
0.3303339466222709,0.6696660533777291,2015-01-11
0.33076708710632446,0.6692329128936756,2015-01-12
0.3249074697811308,0.6750925302188693,2015-01-13
0.40684151867877855,0.5931584813212214,2015-01-14
0.4186434365538144,0.5813565634461856,2015-01-15
0.3627990656768178,0.6372009343231821,2015-01-16
0.3268778480011121,0.6731221519988879,2015-01-17
0.3485698881644824,0.6514301118355176,2015-01-18
0.2974919387267765,0.7025080612732235,2015-01-19
0.37337341315752537,0.6266265868424746,2015-01-20
0.3964434371034865,0.6035565628965135,2015-01-21
0.38593127484015477,0.6140687251598452,2015-01-22
0.4086229679624244,0.5913770320375755,2015-01-23
0.46733706185800833,0.5326629381419916,2015-01-24
0.36380121575598917,0.6361987842440109,2015-01-25
0.37831982021014104,0.621680179789859,2015-01-26
0.3738683765028374,0.6261316234971626,2015-01-27
0.5033404021428699,0.4966595978571301,2015-01-28
0.5848080118396749,0.4151919881603251,2015-01-29
0.6186301788029481,0.3813698211970519,2015-01-30
0.5793230705232094,0.4206769294767906,2015-01-31
0.4731467376894213,0.5268532623105787,2015-02-01
0.4961226102955423,0.5038773897044577,2015-02-02
0.5303109895594494,0.46968901044055056,2015-02-03
0.5049187578718166,0.4950812421281834,2015-02-04
0.4318983787692009,0.5681016212307991,2015-02-05
0.3414166299700495,0.6585833700299505,2015-02-06
0.45417259055983517,0.5458274094401648,2015-02-07
0.42672847717438966,0.5732715228256103,2015-02-08
0.30859415627163195,0.6914058437283681,2015-02-09
0.28357900704092587,0.7164209929590741,2015-02-10
0.2686667573805139,0.7313332426194861,2015-02-11
0.39033469698820605,0.609665303011794,2015-02-12
0.5504512680505131,0.44954873194948686,2015-02-13
0.5336137540694686,0.46638624593053135,2015-02-14
0.42613684865254414,0.5738631513474559,2015-02-15
0.52856325701556,0.47143674298444005,2015-02-16
0.4482606555852473,0.5517393444147527,2015-02-17
0.3552486588018164,0.6447513411981836,2015-02-18
0.3786025740064654,0.6213974259935346,2015-02-19
0.5478950918469772,0.45210490815302284,2015-02-20
0.5810119883875484,0.4189880116124516,2015-02-21
0.5922015403497276,0.4077984596502724,2015-02-22
0.5955175419390981,0.4044824580609019,2015-02-23
0.5805300052618123,0.4194699947381877,2015-02-24
0.5537796269420353,0.4462203730579647,2015-02-25
0.562237227780703,0.43776277221929705,2015-02-26
0.5297727387429567,0.4702272612570433,2015-02-27
0.5462249029708122,0.45377509702918783,2015-02-28
0.48263983976337427,0.5173601602366258,2015-03-01
0.38124123639753693,0.6187587636024631,2015-03-02
