Dates,energy price
2015-01-01,62.09083333333334
2015-01-02,69.44375
2015-01-03,65.22333333333333
2015-01-04,58.91208333333333
2015-01-05,74.59833333333331
2015-01-06,68.67875
2015-01-07,79.04625
2015-01-08,78.55916666666667
2015-01-09,76.3525
2015-01-10,68.21208333333333
2015-01-11,59.53125
2015-01-12,71.37291666666665
2015-01-13,69.84124999999999
2015-01-14,74.31291666666668
2015-01-15,60.20124999999999
2015-01-16,66.00583333333333
2015-01-17,59.28875
2015-01-18,57.35874999999999
2015-01-19,66.82125
2015-01-20,74.93541666666665
2015-01-21,66.01291666666667
2015-01-22,64.07541666666667
2015-01-23,66.96083333333333
2015-01-24,58.01625000000001
2015-01-25,53.44541666666667
2015-01-26,70.80583333333334
2015-01-27,67.69833333333334
2015-01-28,70.35166666666667
2015-01-29,56.132499999999986
2015-01-30,46.49666666666666
2015-01-31,31.07916666666667
2015-02-01,32.81916666666667
2015-02-02,61.590833333333336
2015-02-03,56.57041666666668
2015-02-04,53.55208333333334
2015-02-05,57.11666666666667
2015-02-06,61.50583333333333
2015-02-07,66.16791666666667
2015-02-08,52.95666666666667
2015-02-09,66.16708333333335
2015-02-10,73.31916666666669
2015-02-11,77.17708333333334
2015-02-12,77.94791666666667
2015-02-13,63.72416666666666
2015-02-14,50.654583333333335
2015-02-15,43.89458333333334
2015-02-16,65.6575
2015-02-17,52.99666666666668
2015-02-18,60.546666666666674
2015-02-19,70.765
2015-02-20,65.74083333333334
2015-02-21,45.97125
2015-02-22,31.667916666666667
2015-02-23,44.35250000000001
2015-02-24,42.37250000000001
2015-02-25,48.83416666666667
2015-02-26,54.82958333333334
2015-02-27,53.44041666666667
2015-02-28,47.22458333333333
2015-03-01,38.980000000000004
2015-03-02,57.518750000000004
2015-03-03,66.03625000000001
2015-03-04,47.024166666666666
2015-03-05,41.6625
2015-03-06,61.18791666666666
2015-03-07,57.54625000000001
2015-03-08,51.38708333333332
2015-03-09,58.597500000000004
2015-03-10,64.65666666666668
2015-03-11,60.07749999999999
2015-03-12,58.57749999999999
2015-03-13,53.54500000000001
2015-03-14,51.34291666666667
2015-03-15,53.94
2015-03-16,67.42083333333333
2015-03-17,58.13625
2015-03-18,58.3025
2015-03-19,51.327916666666674
2015-03-20,51.70499999999999
2015-03-21,54.23625000000001
2015-03-22,53.538333333333334
2015-03-23,65.13125000000001
2015-03-24,57.68666666666667
2015-03-25,54.34458333333333
2015-03-26,56.377500000000005
2015-03-27,58.037083333333335
2015-03-28,55.621249999999996
2015-03-29,45.701666666666675
2015-03-30,55.49541666666667
2015-03-31,54.69291666666667
2015-04-01,43.95416666666666
2015-04-02,52.59000000000001
2015-04-03,53.35458333333333
2015-04-04,39.606249999999996
2015-04-05,39.93958333333333
2015-04-06,52.66125
2015-04-07,57.681250000000006
2015-04-08,54.203749999999985
2015-04-09,63.22375
2015-04-10,67.15541666666665
2015-04-11,60.28083333333333
2015-04-12,47.143750000000004
2015-04-13,59.165
2015-04-14,54.903749999999995
2015-04-15,61.54583333333332
2015-04-16,61.945
2015-04-17,68.00666666666666
2015-04-18,58.335
2015-04-19,54.91208333333333
2015-04-20,66.17041666666667
2015-04-21,60.13583333333333
2015-04-22,63.324999999999996
2015-04-23,73.10833333333335
2015-04-24,68.87166666666667
2015-04-25,58.42625
2015-04-26,50.10749999999999
2015-04-27,57.09333333333331
2015-04-28,69.16416666666667
2015-04-29,70.90124999999999
2015-04-30,64.1725
2015-05-01,55.520833333333336
2015-05-02,54.70249999999999
2015-05-03,56.47750000000001
2015-05-04,56.259583333333325
2015-05-05,59.71166666666667
2015-05-06,71.47125
2015-05-07,59.42166666666665
2015-05-08,53.14374999999999
2015-05-09,62.92041666666668
2015-05-10,54.998333333333335
2015-05-11,63.64083333333334
2015-05-12,63.438333333333325
2015-05-13,60.449999999999996
2015-05-14,54.25625
2015-05-15,55.33958333333333
2015-05-16,44.93333333333333
2015-05-17,45.37791666666666
2015-05-18,62.68416666666667
2015-05-19,53.772083333333335
2015-05-20,57.41416666666667
2015-05-21,55.06250000000001
2015-05-22,55.498333333333356
2015-05-23,46.91375
2015-05-24,46.42958333333333
2015-05-25,60.32541666666668
2015-05-26,58.46874999999998
2015-05-27,60.160416666666656
2015-05-28,63.29958333333334
2015-05-29,65.52125
2015-05-30,60.51625000000001
2015-05-31,58.565416666666685
2015-06-01,66.40291666666668
2015-06-02,66.56958333333333
2015-06-03,66.48291666666667
2015-06-04,66.59208333333332
2015-06-05,66.22041666666667
2015-06-06,58.38291666666668
2015-06-07,57.85625000000002
2015-06-08,67.08708333333334
2015-06-09,67.6575
2015-06-10,67.30958333333335
2015-06-11,70.7375
2015-06-12,68.16541666666667
2015-06-13,65.29166666666669
2015-06-14,61.565
2015-06-15,66.27958333333333
2015-06-16,66.07
2015-06-17,61.14958333333332
2015-06-18,59.30833333333334
2015-06-19,61.74333333333333
2015-06-20,56.25999999999999
2015-06-21,59.259583333333346
2015-06-22,73.48291666666667
2015-06-23,70.52499999999999
2015-06-24,72.28
2015-06-25,73.55958333333335
2015-06-26,73.47916666666667
2015-06-27,65.69833333333334
2015-06-28,60.19
2015-06-29,72.46208333333334
2015-06-30,71.56958333333333
2015-07-01,71.67791666666666
2015-07-02,75.73
2015-07-03,71.88333333333333
2015-07-04,65.80625000000002
2015-07-05,60.14875000000001
2015-07-06,72.64250000000001
2015-07-07,72.5425
2015-07-08,71.17208333333333
2015-07-09,72.63083333333334
2015-07-10,74.1125
2015-07-11,65.43666666666667
2015-07-12,62.86124999999999
